date,datatype,station,attributes,value
2023-01-12T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",139
2023-01-12T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",139
2023-01-12T00:00:00,TMAX,GHCND:USW00054743,",,W,",111
2023-01-12T00:00:00,TMAX,GHCND:USW00054787,",,W,",128
2023-01-12T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",128
2023-01-12T00:00:00,TMAX,GHCND:USW00094741,",,W,",133
2023-01-12T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",122
2023-01-12T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",117
2023-01-13T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",128
2023-01-13T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",133
2023-01-13T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",128
2023-01-13T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",128
2023-01-13T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",133
2023-01-13T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",128
2023-01-13T00:00:00,TMAX,GHCND:USC00309580,",,7,",128
2023-01-13T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",128
2023-01-13T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",150
2023-01-13T00:00:00,TMAX,GHCND:USW00054743,",,W,",139
2023-01-13T00:00:00,TMAX,GHCND:USW00054787,",,W,",133
2023-01-13T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",139
2023-01-13T00:00:00,TMAX,GHCND:USW00094741,",,W,",133
2023-01-13T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",122
2023-01-13T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",111
2023-01-14T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",122
2023-01-14T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",122
2023-01-14T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",128
2023-01-14T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",122
2023-01-14T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",100
2023-01-14T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",122
2023-01-14T00:00:00,TMAX,GHCND:USC00309580,",,7,",61
2023-01-14T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",33
2023-01-14T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",33
2023-01-14T00:00:00,TMAX,GHCND:USW00054743,",,W,",22
2023-01-14T00:00:00,TMAX,GHCND:USW00054787,",,W,",33
2023-01-14T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",33
2023-01-14T00:00:00,TMAX,GHCND:USW00094741,",,W,",22
2023-01-14T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",17
2023-01-14T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",33
2023-01-15T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",6
2023-01-15T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",17
2023-01-15T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",22
2023-01-15T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",22
2023-01-15T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",6
2023-01-15T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",11
2023-01-15T00:00:00,TMAX,GHCND:USC00309580,",,7,",61
2023-01-15T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",44
2023-01-15T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",78
2023-01-15T00:00:00,TMAX,GHCND:USW00054743,",,W,",72
2023-01-15T00:00:00,TMAX,GHCND:USW00054787,",,W,",50
2023-01-15T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",50
2023-01-15T00:00:00,TMAX,GHCND:USW00094741,",,W,",56
2023-01-15T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",28
2023-01-15T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",39
2023-01-16T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",61
2023-01-16T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",72
2023-01-16T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",56
2023-01-16T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",56
2023-01-16T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",33
2023-01-16T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",33
2023-01-16T00:00:00,TMAX,GHCND:USC00309580,",,7,",56
2023-01-16T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",89
2023-01-16T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",106
2023-01-16T00:00:00,TMAX,GHCND:USW00054743,",,W,",100
2023-01-16T00:00:00,TMAX,GHCND:USW00054787,",,W,",78
2023-01-16T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",89
2023-01-16T00:00:00,TMAX,GHCND:USW00094741,",,W,",89
2023-01-16T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",61
2023-01-16T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",89
2023-01-17T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",78
2023-01-17T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",94
2023-01-17T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",89
2023-01-17T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",94
2023-01-17T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",50
2023-01-17T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",61
2023-01-17T00:00:00,TMAX,GHCND:USC00309580,",,7,",100
2023-01-17T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",83
2023-01-17T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",89
2023-01-17T00:00:00,TMAX,GHCND:USW00054743,",,W,",83
2023-01-17T00:00:00,TMAX,GHCND:USW00054787,",,W,",78
2023-01-17T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",83
2023-01-17T00:00:00,TMAX,GHCND:USW00094741,",,W,",78
2023-01-17T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",67
2023-01-17T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",72
2023-01-18T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",78
2023-01-18T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",78
2023-01-18T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",78
2023-01-18T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",78
2023-01-18T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",67
2023-01-18T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",72
2023-01-18T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",111
2023-01-18T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",139
2023-01-18T00:00:00,TMAX,GHCND:USW00054743,",,W,",117
2023-01-18T00:00:00,TMAX,GHCND:USW00054787,",,W,",128
2023-01-18T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",117
2023-01-18T00:00:00,TMAX,GHCND:USW00094741,",,W,",117
2023-01-18T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",106
2023-01-18T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",133
2023-01-19T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",106
2023-01-19T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",122
2023-01-19T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",117
2023-01-19T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",122
2023-01-19T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",111
2023-01-19T00:00:00,TMAX,GHCND:USC00309580,",,7,",122
2023-01-19T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",72
2023-01-19T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",67
2023-01-19T00:00:00,TMAX,GHCND:USW00054743,",,W,",50
2023-01-19T00:00:00,TMAX,GHCND:USW00054787,",,W,",83
2023-01-19T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",67
2023-01-19T00:00:00,TMAX,GHCND:USW00094741,",,W,",50
2023-01-19T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",56
2023-01-19T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",72
2023-01-20T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",44
2023-01-20T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",50
2023-01-20T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",61
2023-01-20T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",89
2023-01-20T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",50
2023-01-20T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",72
2023-01-20T00:00:00,TMAX,GHCND:USC00309580,",,7,",100
2023-01-20T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",94
2023-01-20T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",106
2023-01-20T00:00:00,TMAX,GHCND:USW00054743,",,W,",89
2023-01-20T00:00:00,TMAX,GHCND:USW00054787,",,W,",106
2023-01-20T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",94
2023-01-20T00:00:00,TMAX,GHCND:USW00094741,",,W,",100
2023-01-20T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",94
2023-01-20T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",100
2023-01-21T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",78
