period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-04-04,NY,New York,D,Demand,Pacific,Pacific,357932,megawatthours
2023-04-04,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,357932,megawatthours
2023-04-04,NYIS,New York Independent System Operator,D,Demand,Central,Central,358279,megawatthours
2023-04-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,358409,megawatthours
2023-04-04,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,358128,megawatthours
2023-04-04,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,357932,megawatthours
2023-04-04,PACE,PacifiCorp East,D,Demand,Arizona,Arizona,147213,megawatthours
2023-04-04,PACE,PacifiCorp East,D,Demand,Central,Central,147406,megawatthours
2023-04-04,PACE,PacifiCorp East,D,Demand,Eastern,Eastern,147544,megawatthours
2023-04-04,PACE,PacifiCorp East,D,Demand,Mountain,Mountain,147315,megawatthours
2023-04-04,PACE,PacifiCorp East,D,Demand,Pacific,Pacific,147213,megawatthours
2023-04-04,PACW,PacifiCorp West,D,Demand,Arizona,Arizona,62400,megawatthours
2023-04-04,PACW,PacifiCorp West,D,Demand,Central,Central,62487,megawatthours
2023-04-04,PACW,PacifiCorp West,D,Demand,Eastern,Eastern,62539,megawatthours
2023-04-04,PACW,PacifiCorp West,D,Demand,Mountain,Mountain,62438,megawatthours
2023-04-04,PACW,PacifiCorp West,D,Demand,Pacific,Pacific,62400,megawatthours
2023-04-04,PGE,Portland General Electric Company,D,Demand,Arizona,Arizona,65208,megawatthours
2023-04-04,PGE,Portland General Electric Company,D,Demand,Central,Central,65277,megawatthours
2023-04-04,PGE,Portland General Electric Company,D,Demand,Eastern,Eastern,65318,megawatthours
2023-04-04,PGE,Portland General Electric Company,D,Demand,Mountain,Mountain,65249,megawatthours
2023-04-04,PGE,Portland General Electric Company,D,Demand,Pacific,Pacific,65208,megawatthours
2023-04-04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1925356,megawatthours
2023-04-04,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1926601,megawatthours
2023-04-04,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1926286,megawatthours
2023-04-04,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1926253,megawatthours
2023-04-04,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1925356,megawatthours
2023-04-04,PNM,Public Service Company of New Mexico,D,Demand,Arizona,Arizona,37990,megawatthours
2023-04-04,PNM,Public Service Company of New Mexico,D,Demand,Central,Central,37656,megawatthours
2023-04-04,PNM,Public Service Company of New Mexico,D,Demand,Eastern,Eastern,37489,megawatthours
2023-04-04,PNM,Public Service Company of New Mexico,D,Demand,Mountain,Mountain,37832,megawatthours
2023-04-04,PNM,Public Service Company of New Mexico,D,Demand,Pacific,Pacific,37990,megawatthours
2023-04-04,PSCO,Public Service Company of Colorado,D,Demand,Arizona,Arizona,120428,megawatthours
2023-04-04,PSCO,Public Service Company of Colorado,D,Demand,Central,Central,119185,megawatthours
2023-04-04,PSCO,Public Service Company of Colorado,D,Demand,Eastern,Eastern,118564,megawatthours
2023-04-04,PSCO,Public Service Company of Colorado,D,Demand,Mountain,Mountain,119818,megawatthours
2023-04-04,PSCO,Public Service Company of Colorado,D,Demand,Pacific,Pacific,120428,megawatthours
2023-04-04,PSEI,"Puget Sound Energy, Inc.",D,Demand,Arizona,Arizona,73481,megawatthours
2023-04-04,PSEI,"Puget Sound Energy, Inc.",D,Demand,Central,Central,73553,megawatthours
2023-04-04,PSEI,"Puget Sound Energy, Inc.",D,Demand,Eastern,Eastern,73623,megawatthours
2023-04-04,PSEI,"Puget Sound Energy, Inc.",D,Demand,Mountain,Mountain,73514,megawatthours
2023-04-04,PSEI,"Puget Sound Energy, Inc.",D,Demand,Pacific,Pacific,73481,megawatthours
2023-04-04,SC,South Carolina Public Service Authority,D,Demand,Arizona,Arizona,60775,megawatthours
2023-04-04,SC,South Carolina Public Service Authority,D,Demand,Central,Central,60623,megawatthours
2023-04-04,SC,South Carolina Public Service Authority,D,Demand,Eastern,Eastern,60502,megawatthours
2023-04-04,SC,South Carolina Public Service Authority,D,Demand,Mountain,Mountain,60723,megawatthours
2023-04-04,SC,South Carolina Public Service Authority,D,Demand,Pacific,Pacific,60775,megawatthours
2023-04-04,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,Arizona,Arizona,60039,megawatthours
2023-04-04,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,Central,Central,60008,megawatthours
2023-04-04,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,Eastern,Eastern,59808,megawatthours
2023-04-04,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,Mountain,Mountain,60084,megawatthours
2023-04-04,SCEG,"Dominion Energy South Carolina, Inc.",D,Demand,Pacific,Pacific,60039,megawatthours
2023-04-04,SCL,Seattle City Light,D,Demand,Arizona,Arizona,29040,megawatthours
2023-04-04,SCL,Seattle City Light,D,Demand,Central,Central,29110,megawatthours
2023-04-04,SCL,Seattle City Light,D,Demand,Eastern,Eastern,29190,megawatthours
2023-04-04,SCL,Seattle City Light,D,Demand,Mountain,Mountain,29068,megawatthours
2023-04-04,SCL,Seattle City Light,D,Demand,Pacific,Pacific,29040,megawatthours
2023-04-04,SE,Southeast,D,Demand,Arizona,Arizona,556744,megawatthours
2023-04-04,SE,Southeast,D,Demand,Central,Central,553886,megawatthours
2023-04-04,SE,Southeast,D,Demand,Eastern,Eastern,552726,megawatthours
2023-04-04,SE,Southeast,D,Demand,Mountain,Mountain,555080,megawatthours
2023-04-04,SE,Southeast,D,Demand,Pacific,Pacific,556744,megawatthours
2023-04-04,SEC,Seminole Electric Cooperative,D,Demand,Arizona,Arizona,5711,megawatthours
2023-04-04,SEC,Seminole Electric Cooperative,D,Demand,Central,Central,5653,megawatthours
2023-04-04,SEC,Seminole Electric Cooperative,D,Demand,Eastern,Eastern,5627,megawatthours
2023-04-04,SEC,Seminole Electric Cooperative,D,Demand,Mountain,Mountain,5677,megawatthours
2023-04-04,SEC,Seminole Electric Cooperative,D,Demand,Pacific,Pacific,5711,megawatthours
2023-04-04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,Arizona,Arizona,556744,megawatthours
2023-04-04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,Central,Central,553886,megawatthours
2023-04-04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,Eastern,Eastern,552726,megawatthours
2023-04-04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,Mountain,Mountain,555080,megawatthours
2023-04-04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand,Pacific,Pacific,556744,megawatthours
2023-04-04,SPA,Southwestern Power Administration,D,Demand,Arizona,Arizona,1782,megawatthours
2023-04-04,SPA,Southwestern Power Administration,D,Demand,Central,Central,1780,megawatthours
2023-04-04,SPA,Southwestern Power Administration,D,Demand,Eastern,Eastern,1788,megawatthours
2023-04-04,SPA,Southwestern Power Administration,D,Demand,Mountain,Mountain,1783,megawatthours
2023-04-04,SPA,Southwestern Power Administration,D,Demand,Pacific,Pacific,1782,megawatthours
2023-04-04,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Arizona,Arizona,69004,megawatthours
2023-04-04,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Central,Central,68672,megawatthours
2023-04-04,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Eastern,Eastern,68591,megawatthours
2023-04-04,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Mountain,Mountain,68804,megawatthours
2023-04-04,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Pacific,Pacific,69004,megawatthours
2023-04-04,SW,Southwest,D,Demand,Arizona,Arizona,251415,megawatthours
2023-04-04,SW,Southwest,D,Demand,Central,Central,250034,megawatthours
2023-04-04,SW,Southwest,D,Demand,Eastern,Eastern,249541,megawatthours
2023-04-04,SW,Southwest,D,Demand,Mountain,Mountain,250663,megawatthours
2023-04-04,SW,Southwest,D,Demand,Pacific,Pacific,251415,megawatthours
2023-04-04,SWPP,Southwest Power Pool,D,Demand,Arizona,Arizona,724039,megawatthours
2023-04-04,SWPP,Southwest Power Pool,D,Demand,Central,Central,722384,megawatthours
2023-04-04,SWPP,Southwest Power Pool,D,Demand,Eastern,Eastern,721422,megawatthours
2023-04-04,SWPP,Southwest Power Pool,D,Demand,Mountain,Mountain,723269,megawatthours
2023-04-04,SWPP,Southwest Power Pool,D,Demand,Pacific,Pacific,724039,megawatthours
2023-04-04,TAL,City of Tallahassee,D,Demand,Arizona,Arizona,7567,megawatthours
2023-04-04,TAL,City of Tallahassee,D,Demand,Central,Central,7569,megawatthours
2023-04-04,TAL,City of Tallahassee,D,Demand,Eastern,Eastern,7563,megawatthours
2023-04-04,TAL,City of Tallahassee,D,Demand,Mountain,Mountain,7570,megawatthours
2023-04-04,TAL,City of Tallahassee,D,Demand,Pacific,Pacific,7567,megawatthours
2023-04-04,TEC,Tampa Electric Company,D,Demand,Arizona,Arizona,65435,megawatthours
2023-04-04,TEC,Tampa Electric Company,D,Demand,Central,Central,65023,megawatthours
2023-04-04,TEC,Tampa Electric Company,D,Demand,Eastern,Eastern,64808,megawatthours
2023-04-04,TEC,Tampa Electric Company,D,Demand,Mountain,Mountain,65238,megawatthours
2023-04-04,TEC,Tampa Electric Company,D,Demand,Pacific,Pacific,65435,megawatthours
2023-04-04,TEN,Tennessee,D,Demand,Arizona,Arizona,407750,megawatthours
2023-04-04,TEN,Tennessee,D,Demand,Central,Central,404827,megawatthours
2023-04-04,TEN,Tennessee,D,Demand,Eastern,Eastern,402663,megawatthours
2023-04-04,TEN,Tennessee,D,Demand,Mountain,Mountain,406432,megawatthours
2023-04-04,TEN,Tennessee,D,Demand,Pacific,Pacific,407750,megawatthours
2023-04-04,TEPC,Tucson Electric Power,D,Demand,Arizona,Arizona,34049,megawatthours
2023-04-04,TEPC,Tucson Electric Power,D,Demand,Central,Central,33800,megawatthours
2023-04-04,TEPC,Tucson Electric Power,D,Demand,Eastern,Eastern,33691,megawatthours
2023-04-04,TEPC,Tucson Electric Power,D,Demand,Mountain,Mountain,33912,megawatthours
2023-04-04,TEPC,Tucson Electric Power,D,Demand,Pacific,Pacific,34049,megawatthours
2023-04-04,TEX,Texas,D,Demand,Arizona,Arizona,1189088,megawatthours
2023-04-04,TEX,Texas,D,Demand,Central,Central,1189418,megawatthours
